params,MostNaive,DeepDataDepthAnomalyDetector
"('MNIST-C_dotted_line', 0.01, 1)",,
"('MNIST-C_dotted_line', 0.05, 1)",,
"('MNIST-C_dotted_line', 0.1, 1)",,
"('MNIST-C_dotted_line', 0.25, 1)",,
"('MNIST-C_dotted_line', 0.5, 1)",,
"('MNIST-C_dotted_line', 0.75, 1)",,
"('MNIST-C_dotted_line', 1.0, 1)",,
"('MNIST-C_fog', 0.0, 1)",0.9904912280701754,0.9827438596491227
"('MNIST-C_fog', 0.01, 1)",,
"('MNIST-C_fog', 0.05, 1)",,
"('MNIST-C_fog', 0.1, 1)",,
"('MNIST-C_fog', 0.25, 1)",,
"('MNIST-C_fog', 0.5, 1)",,
"('MNIST-C_fog', 0.75, 1)",,
"('MNIST-C_fog', 1.0, 1)",,
"('MNIST-C_identity', 0.0, 1)",0.4847216374269006,0.4955087719298246
"('MNIST-C_identity', 0.01, 1)",,
"('MNIST-C_identity', 0.05, 1)",,
"('MNIST-C_identity', 0.1, 1)",,
"('MNIST-C_identity', 0.25, 1)",,
"('MNIST-C_identity', 0.5, 1)",,
"('MNIST-C_identity', 0.75, 1)",,
"('MNIST-C_identity', 1.0, 1)",,
"('MNIST-C_impulse_noise', 0.0, 1)",0.9439356725146199,0.9955111111111111
"('MNIST-C_impulse_noise', 0.01, 1)",,
"('MNIST-C_impulse_noise', 0.05, 1)",,
"('MNIST-C_impulse_noise', 0.1, 1)",,
"('MNIST-C_impulse_noise', 0.25, 1)",,
"('MNIST-C_impulse_noise', 0.5, 1)",,
"('MNIST-C_impulse_noise', 0.75, 1)",,
"('MNIST-C_impulse_noise', 1.0, 1)",,
"('MNIST-C_motion_blur', 0.0, 1)",0.9719298245614035,0.9789380116959064
"('MNIST-C_motion_blur', 0.01, 1)",,
"('MNIST-C_motion_blur', 0.05, 1)",,
"('MNIST-C_motion_blur', 0.1, 1)",,
"('MNIST-C_motion_blur', 0.25, 1)",,
"('MNIST-C_motion_blur', 0.5, 1)",,
"('MNIST-C_motion_blur', 0.75, 1)",,
"('MNIST-C_motion_blur', 1.0, 1)",,
"('MNIST-C_rotate', 0.0, 1)",0.6431929824561403,0.585080701754386
"('MNIST-C_rotate', 0.01, 1)",,
"('MNIST-C_rotate', 0.05, 1)",,
"('MNIST-C_rotate', 0.1, 1)",,
"('MNIST-C_rotate', 0.25, 1)",,
"('MNIST-C_rotate', 0.5, 1)",,
"('MNIST-C_rotate', 0.75, 1)",,
"('MNIST-C_rotate', 1.0, 1)",,
"('MNIST-C_scale', 0.0, 1)",0.5292116959064328,0.5631228070175438
"('MNIST-C_scale', 0.01, 1)",,
"('MNIST-C_scale', 0.05, 1)",,
"('MNIST-C_scale', 0.1, 1)",,
"('MNIST-C_scale', 0.25, 1)",,
"('MNIST-C_scale', 0.5, 1)",,
"('MNIST-C_scale', 0.75, 1)",,
"('MNIST-C_scale', 1.0, 1)",,
"('MNIST-C_shot_noise', 0.0, 1)",0.7717415204678362,0.8404795321637427
"('MNIST-C_shot_noise', 0.01, 1)",,
"('MNIST-C_shot_noise', 0.05, 1)",,
"('MNIST-C_shot_noise', 0.1, 1)",,
"('MNIST-C_shot_noise', 0.25, 1)",,
"('MNIST-C_shot_noise', 0.5, 1)",,
"('MNIST-C_shot_noise', 0.75, 1)",,
"('MNIST-C_shot_noise', 1.0, 1)",,
"('MNIST-C_spatter', 0.0, 1)",0.9168982456140351,0.9454432748538011
"('MNIST-C_spatter', 0.01, 1)",,
"('MNIST-C_spatter', 0.05, 1)",,
"('MNIST-C_spatter', 0.1, 1)",,
"('MNIST-C_spatter', 0.25, 1)",,
"('MNIST-C_spatter', 0.5, 1)",,
"('MNIST-C_spatter', 0.75, 1)",,
"('MNIST-C_spatter', 1.0, 1)",,
"('MNIST-C_stripe', 0.0, 1)",0.8644818713450293,0.9597040935672515
"('MNIST-C_stripe', 0.01, 1)",,
"('MNIST-C_stripe', 0.05, 1)",,
"('MNIST-C_stripe', 0.1, 1)",,
"('MNIST-C_stripe', 0.25, 1)",,
"('MNIST-C_stripe', 0.5, 1)",,
"('MNIST-C_stripe', 0.75, 1)",,
"('MNIST-C_stripe', 1.0, 1)",,
"('MNIST-C_translate', 0.0, 1)",0.46633684210526316,0.5021239766081872
"('MNIST-C_translate', 0.01, 1)",,
"('MNIST-C_translate', 0.05, 1)",,
"('MNIST-C_translate', 0.1, 1)",,
"('MNIST-C_translate', 0.25, 1)",,
"('MNIST-C_translate', 0.5, 1)",,
"('MNIST-C_translate', 0.75, 1)",,
"('MNIST-C_translate', 1.0, 1)",,
"('MNIST-C_glass_blur', 0.0, 1)",0.9365801169590644,0.9549216374269006
"('MNIST-C_glass_blur', 0.01, 1)",,
"('MNIST-C_glass_blur', 0.05, 1)",,
"('MNIST-C_glass_blur', 0.1, 1)",,
"('MNIST-C_glass_blur', 0.25, 1)",,
"('MNIST-C_glass_blur', 0.5, 1)",,
"('MNIST-C_glass_blur', 0.75, 1)",,
"('MNIST-C_glass_blur', 1.0, 1)",,
"('MNIST-C_shear', 0.0, 1)",0.7222105263157894,0.6777239766081871
"('MNIST-C_shear', 0.01, 1)",,
"('MNIST-C_shear', 0.05, 1)",,
"('MNIST-C_shear', 0.1, 1)",,
"('MNIST-C_shear', 0.25, 1)",,
"('MNIST-C_shear', 0.5, 1)",,
"('MNIST-C_shear', 0.75, 1)",,
"('MNIST-C_shear', 1.0, 1)",,
