params,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM,MostNaive,DeepDataDepthAnomalyDetector
"('CIFAR10_3', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.0, 1)",0.8860759493670886,0.8742784810126583,0.9051729957805907,0.7602109704641351,0.8944556962025317,0.8770801687763713,0.8809535864978904,0.8779662447257385,0.8551729957805907,0.6469535864978903,0.8979240506329115,0.7890886075949367,0.5690801687763714,0.7273502109704642,0.8804472573839662,0.9002362869198314
"('CIFAR10_4', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_4', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.0, 1)",0.8859662447257384,0.8678987341772152,0.9229535864978903,0.4237130801687764,0.9330548523206752,0.8987257383966245,0.9087763713080169,0.7993586497890295,0.904548523206751,0.5066497890295358,0.9224641350210971,0.6665485232067512,0.4839071729957806,0.830168776371308,0.9019746835443038,0.9057552742616034
"('CIFAR10_5', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_5', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.0, 1)",0.7964388185654008,0.8618902953586498,0.9472658227848102,0.686970464135021,0.8941434599156118,0.8610210970464136,0.8616877637130801,0.8379662447257384,0.848548523206751,0.6103966244725738,0.9061097046413502,0.7797974683544305,0.5430042194092827,0.6963713080168777,0.8734599156118144,0.9121518987341772
"('CIFAR10_6', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_6', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.0, 1)",0.9197552742616033,0.9053839662447257,0.9412658227848101,0.828818565400844,0.9249620253164557,0.9114683544303797,0.9198481012658227,0.9401772151898733,0.8797215189873417,0.7309535864978903,0.9310042194092826,0.8843459915611814,0.6838902953586498,0.7858059071729959,0.9202616033755274,0.9378565400843882
"('CIFAR10_8', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_8', 1.0, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.0, 1)",0.9310295358649789,0.9212742616033756,0.9597046413502109,0.8477974683544304,0.9368101265822785,0.9256708860759494,0.9309789029535865,0.9473755274261604,0.9204978902953587,0.7827763713080169,0.9396286919831224,0.9382700421940928,0.6664388185654008,0.7787594936708861,0.9319831223628693,0.9522278481012658
"('CIFAR10_9', 0.01, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.05, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.1, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.25, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.5, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 0.75, 1)",,,,,,,,,,,,,,,,
"('CIFAR10_9', 1.0, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.0, 1)",0.551123595505618,0.5662921348314607,0.5569646397884997,0.5149206873760741,0.5667795769993391,0.5666473892927958,0.5569729015201585,0.5472653668208857,0.5351867151354924,0.5454890945142102,0.5635492399206874,0.5586004626569729,0.5931179775280899,0.565284203569068,0.5614672835426305,0.5632848645076007
"('SVHN_8', 0.01, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.05, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.1, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.25, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.5, 1)",,,,,,,,,,,,,,,,
"('SVHN_8', 0.75, 1)",,,,,,,,,,,,,,,,
