params,DeepDataDepthAnomalyDetector
"('CIFAR10_9', 0.0, 1)",0.5822194092827004
"('CIFAR10_9', 0.01, 1)",
"('CIFAR10_9', 0.05, 1)",
"('CIFAR10_9', 0.1, 1)",
"('CIFAR10_9', 0.25, 1)",
"('CIFAR10_9', 0.5, 1)",
"('CIFAR10_9', 0.75, 1)",
"('CIFAR10_9', 1.0, 1)",
"('CIFAR10_8', 0.0, 1)",0.6395696202531647
"('CIFAR10_8', 0.01, 1)",
"('CIFAR10_8', 0.05, 1)",
"('CIFAR10_8', 0.1, 1)",
"('CIFAR10_8', 0.25, 1)",
"('CIFAR10_8', 0.5, 1)",
"('CIFAR10_8', 0.75, 1)",
"('CIFAR10_8', 1.0, 1)",
"('CIFAR10_7', 0.0, 1)",0.4748270042194093
"('CIFAR10_7', 0.01, 1)",
"('CIFAR10_7', 0.05, 1)",
"('CIFAR10_7', 0.1, 1)",
"('CIFAR10_7', 0.25, 1)",
"('CIFAR10_7', 0.5, 1)",
"('CIFAR10_7', 0.75, 1)",
"('CIFAR10_7', 1.0, 1)",
"('CIFAR10_6', 0.0, 1)",0.6299156118143461
"('CIFAR10_6', 0.01, 1)",
"('CIFAR10_6', 0.05, 1)",
"('CIFAR10_6', 0.1, 1)",
"('CIFAR10_6', 0.25, 1)",
"('CIFAR10_6', 0.5, 1)",
"('CIFAR10_6', 0.75, 1)",
"('CIFAR10_6', 1.0, 1)",
"('CIFAR10_3', 0.0, 1)",0.5949282700421941
"('CIFAR10_3', 0.01, 1)",
"('CIFAR10_3', 0.05, 1)",
"('CIFAR10_3', 0.1, 1)",
"('CIFAR10_3', 0.25, 1)",
"('CIFAR10_3', 0.5, 1)",
"('CIFAR10_3', 0.75, 1)",
"('CIFAR10_3', 1.0, 1)",
"('CIFAR10_4', 0.0, 1)",0.6751392405063291
"('CIFAR10_4', 0.01, 1)",
"('CIFAR10_4', 0.05, 1)",
"('CIFAR10_4', 0.1, 1)",
"('CIFAR10_4', 0.25, 1)",
"('CIFAR10_4', 0.5, 1)",
"('CIFAR10_4', 0.75, 1)",
"('CIFAR10_4', 1.0, 1)",
"('CIFAR10_2', 0.0, 1)",0.5412067510548523
"('CIFAR10_2', 0.01, 1)",
"('CIFAR10_2', 0.05, 1)",
"('CIFAR10_2', 0.1, 1)",
"('CIFAR10_2', 0.25, 1)",
"('CIFAR10_2', 0.5, 1)",
"('CIFAR10_2', 0.75, 1)",
"('CIFAR10_2', 1.0, 1)",
"('CIFAR10_1', 0.0, 1)",0.5527510548523207
"('CIFAR10_1', 0.01, 1)",
"('CIFAR10_1', 0.05, 1)",
"('CIFAR10_1', 0.1, 1)",
"('CIFAR10_1', 0.25, 1)",
"('CIFAR10_1', 0.5, 1)",
"('CIFAR10_1', 0.75, 1)",
"('CIFAR10_1', 1.0, 1)",
"('CIFAR10_0', 0.0, 1)",0.63073417721519
"('CIFAR10_0', 0.01, 1)",
"('CIFAR10_0', 0.05, 1)",
"('CIFAR10_0', 0.1, 1)",
"('CIFAR10_0', 0.25, 1)",
"('CIFAR10_0', 0.5, 1)",
"('CIFAR10_0', 0.75, 1)",
"('CIFAR10_0', 1.0, 1)",
"('CIFAR10_5', 0.0, 1)",0.5267341772151899
"('CIFAR10_5', 0.01, 1)",
"('CIFAR10_5', 0.05, 1)",
"('CIFAR10_5', 0.1, 1)",
"('CIFAR10_5', 0.25, 1)",
"('CIFAR10_5', 0.5, 1)",
"('CIFAR10_5', 0.75, 1)",
"('CIFAR10_5', 1.0, 1)",
"('SVHN_8', 0.0, 1)",0.6014375413086583
"('SVHN_8', 0.01, 1)",
"('SVHN_8', 0.05, 1)",
"('SVHN_8', 0.1, 1)",
"('SVHN_8', 0.25, 1)",
"('SVHN_8', 0.5, 1)",
"('SVHN_8', 0.75, 1)",
"('SVHN_8', 1.0, 1)",
"('27_PageBlocks', 0.0, 1)",0.9140467108345045
"('27_PageBlocks', 0.01, 1)",
"('27_PageBlocks', 0.05, 1)",
"('27_PageBlocks', 0.1, 1)",
"('27_PageBlocks', 0.25, 1)",
"('27_PageBlocks', 0.5, 1)",
"('27_PageBlocks', 0.75, 1)",
"('27_PageBlocks', 1.0, 1)",
"('31_satimage-2', 0.0, 1)",0.9849944629014398
"('31_satimage-2', 0.01, 1)",
"('31_satimage-2', 0.05, 1)",
"('31_satimage-2', 0.1, 1)",
"('31_satimage-2', 0.25, 1)",
"('31_satimage-2', 0.5, 1)",
"('31_satimage-2', 0.75, 1)",
"('31_satimage-2', 1.0, 1)",
"('SVHN_7', 0.0, 1)",0.5956196870431534
"('SVHN_7', 0.01, 1)",
"('SVHN_7', 0.05, 1)",
"('SVHN_7', 0.1, 1)",
"('SVHN_7', 0.25, 1)",
"('SVHN_7', 0.5, 1)",
"('SVHN_7', 0.75, 1)",
"('SVHN_7', 1.0, 1)",
"('SVHN_6', 0.0, 1)",0.5222028311033546
"('SVHN_6', 0.01, 1)",
"('SVHN_6', 0.05, 1)",
"('SVHN_6', 0.1, 1)",
"('SVHN_6', 0.25, 1)",
"('SVHN_6', 0.5, 1)",
"('SVHN_6', 0.75, 1)",
"('SVHN_6', 1.0, 1)",
"('FashionMNIST_9', 0.0, 1)",0.9146959064327485
"('FashionMNIST_9', 0.01, 1)",
"('FashionMNIST_9', 0.05, 1)",
