params,MostNaive
"('CIFAR10_1', 0.1, 1)",
"('CIFAR10_1', 0.25, 1)",
"('CIFAR10_1', 0.5, 1)",
"('CIFAR10_1', 0.75, 1)",
"('CIFAR10_1', 1.0, 1)",
"('CIFAR10_0', 0.0, 1)",0.6921687763713081
"('CIFAR10_0', 0.01, 1)",
"('CIFAR10_0', 0.05, 1)",
"('CIFAR10_0', 0.1, 1)",
"('CIFAR10_0', 0.25, 1)",
"('CIFAR10_0', 0.5, 1)",
"('CIFAR10_0', 0.75, 1)",
"('CIFAR10_0', 1.0, 1)",
"('CIFAR10_5', 0.0, 1)",0.5706329113924051
"('CIFAR10_5', 0.01, 1)",
"('CIFAR10_5', 0.05, 1)",
"('CIFAR10_5', 0.1, 1)",
"('CIFAR10_5', 0.25, 1)",
"('CIFAR10_5', 0.5, 1)",
"('CIFAR10_5', 0.75, 1)",
"('CIFAR10_5', 1.0, 1)",
"('SVHN_8', 0.0, 1)",0.5631526768010575
"('SVHN_8', 0.01, 1)",
"('SVHN_8', 0.05, 1)",
"('SVHN_8', 0.1, 1)",
"('SVHN_8', 0.25, 1)",
"('SVHN_8', 0.5, 1)",
"('SVHN_8', 0.75, 1)",
"('SVHN_8', 1.0, 1)",
"('27_PageBlocks', 0.0, 1)",0.8896517879051506
"('27_PageBlocks', 0.01, 1)",
"('27_PageBlocks', 0.05, 1)",
"('27_PageBlocks', 0.1, 1)",
"('27_PageBlocks', 0.25, 1)",
"('27_PageBlocks', 0.5, 1)",
"('27_PageBlocks', 0.75, 1)",
"('27_PageBlocks', 1.0, 1)",
"('31_satimage-2', 0.0, 1)",0.9591085271317829
"('31_satimage-2', 0.01, 1)",
"('31_satimage-2', 0.05, 1)",
"('31_satimage-2', 0.1, 1)",
"('31_satimage-2', 0.25, 1)",
"('31_satimage-2', 0.5, 1)",
"('31_satimage-2', 0.75, 1)",
"('31_satimage-2', 1.0, 1)",
"('SVHN_7', 0.0, 1)",0.7218988575450754
"('SVHN_7', 0.01, 1)",
"('SVHN_7', 0.05, 1)",
"('SVHN_7', 0.1, 1)",
"('SVHN_7', 0.25, 1)",
"('SVHN_7', 0.5, 1)",
"('SVHN_7', 0.75, 1)",
